Gene	junctions1_n1	junctions1_n3	junctions1_n10	junctions10_n1	junctions10_n3	junctions10_n10	junctions100_n1	junctions100_n3	junctions100_n10	junctions1_unique_n1	junctions1_unique_n3	junctions1_unique_n10	junctions10_unique_n1	junctions10_unique_n3	junctions10_unique_n10	junctions100_unique_n1	junctions100_unique_n3	junctions100_unique_n10	meanCPM
RJF.Contig1.LOC14.MHCY2v	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	1.08864314814815
RJF.Contig1.LOC44.MHCY15m	6 / 6	6 / 6	5 / 6	5 / 6	5 / 6	2 / 6	3 / 6	3 / 6	1 / 6	1 / 6	1 / 6	1 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.50707037037037
RJF.Contig1.LOC31.YLEC13d	6 / 6	6 / 6	6 / 6	5 / 6	4 / 6	1 / 6	1 / 6	0 / 6	0 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0958546296296298
RJF.Contig1.LOC50.MHCY18i	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	1 / 7	7 / 7	5 / 7	2 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	1.03692363315697
RJF.Contig1.LOC51.MHCY19t	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	1 / 5	1 / 5	0 / 5	0 / 5	2 / 5	1 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0.051257037037037
RJF.Contig1.LOC32.MHCY9i	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	2 / 7	7 / 7	7 / 7	2 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	1.0400151675485
RJF.Contig1.LOC37.MHCY12q	6 / 6	6 / 6	5 / 6	5 / 6	5 / 6	5 / 6	5 / 6	4 / 6	2 / 6	6 / 6	6 / 6	5 / 6	5 / 6	5 / 6	5 / 6	5 / 6	4 / 6	1 / 6	1.41836296296296
RJF.Contig1.LOC52.MHCY20o	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	2 / 6	5 / 6	4 / 6	3 / 6	1 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	1.4455853909465
RJF.Contig1.LOC30.MHCY8a	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	4 / 7	4 / 7	1 / 7	0 / 7	0 / 7	0 / 7	0 / 7	4.92356843033509
RJF.Contig1.LOC48.MHCY17a	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	4 / 7	4 / 7	1 / 7	0 / 7	0 / 7	0 / 7	0 / 7	4.92177301587302
RJF.Contig1.LOC33.MHCY10t	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	1 / 5	1 / 5	0 / 5	0 / 5	2 / 5	1 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0.0514893827160494
RJF.Contig1.LOC06.MHCY2B1a	4 / 5	4 / 5	3 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	2 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0.0215296296296296
RJF.Contig1.LOC34.MHCY11o	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	2 / 6	5 / 6	4 / 6	3 / 6	1 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	1.44618827160494
RJF.Contig1.LOC22.YLEC8a	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	2 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	6.27888981481482
RJF.Contig1.LOC17.MHCY4v	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	1.0923912962963
RJF.Contig1.LOC49.YLEC19d	6 / 6	6 / 6	6 / 6	5 / 6	4 / 6	1 / 6	1 / 6	0 / 6	0 / 6	2 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0962108024691358
RJF.Contig1.LOC21.MHCY6u	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	2 / 4	4 / 4	2 / 4	1 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	2.72987407407407
